2026-05-09 23:02:22 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:02:22 | INFO    | apscheduler.executors.default | Job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:03:22 CST)" executed successfully
2026-05-09 23:02:27 | INFO    | root | Señal 2 recibida, deteniendo...
2026-05-09 23:02:27 | INFO    | TradingBot | Apagando bot...
2026-05-09 23:02:27 | INFO    | apscheduler.scheduler | Scheduler has been shut down
2026-05-09 23:02:27 | INFO    | TradingBot | Bot detenido limpiamente
2026-05-09 23:02:27 | INFO    | TradingBot | Apagando bot...
2026-05-09 23:02:27 | INFO    | TradingBot | Bot detenido limpiamente
2026-05-09 23:02:34 | INFO    | exchange.binance_client | Conectado a Binance (TESTNET)
2026-05-09 23:02:34 | INFO    | notifications.telegram_bot | Telegram desactivado (faltan credenciales)
2026-05-09 23:02:34 | INFO    | TradingBot | Estado cargado: {'last_run': '2026-05-10T05:02:22.532500+00:00', 'consecutive_errors': 0}
2026-05-09 23:02:34 | INFO    | TradingBot | ============================================================
2026-05-09 23:02:34 | INFO    | TradingBot | BOT SMC ARRANCANDO
2026-05-09 23:02:34 | INFO    | TradingBot |   TESTNET=True  DRY_RUN=True  PAPER=True
2026-05-09 23:02:34 | INFO    | TradingBot |   Símbolos: ['ETHUSDT', 'BTCUSDT']
2026-05-09 23:02:34 | INFO    | TradingBot |   Loop cada 60s
2026-05-09 23:02:34 | INFO    | TradingBot | ============================================================
2026-05-09 23:02:34 | INFO    | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-09 23:02:34 | INFO    | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-09 23:02:34 | INFO    | apscheduler.scheduler | Added job "TradingBot.evaluate_all" to job store "default"
2026-05-09 23:02:34 | INFO    | apscheduler.scheduler | Added job "TradingBot.manage_open_positions" to job store "default"
2026-05-09 23:02:34 | INFO    | apscheduler.scheduler | Scheduler started
2026-05-09 23:02:49 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:03:04 CST)" (scheduled at 2026-05-09 23:02:49.899448-06:00)
2026-05-09 23:02:49 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:02:49 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:03:04 CST)" executed successfully
2026-05-09 23:03:04 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:03:19 CST)" (scheduled at 2026-05-09 23:03:04.899448-06:00)
2026-05-09 23:03:04 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:03:04 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:03:19 CST)" executed successfully
